level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1655,1675,P405,lab,breathing,5,1.021446775007498,2019-10-09 12:27:00,0.07392936704186359,1.0,1.439008,0.668876,0,1.3295294592187976,1.3295294592187976
1656,1676,P405,lab,squats,1,0.9079526888955538,2019-10-09 12:29:00,2.9868440521362363,5.0,2.862058,2.2580243618466844,1,2.4930291460566725,2.4930291460566725
1657,1677,P405,lab,squats,2,0.9079526888955538,2019-10-09 12:30:00,5.574238320817285,5.0,2.462173,2.0401862586493693,1,3.5265068640074064,3.5265068640074064
1658,1678,P405,lab,squats,3,0.9079526888955538,2019-10-09 12:31:00,5.114617683316131,5.0,2.3604130000000003,2.2940784615333314,1,3.342921512011596,3.342921512011596
1659,1679,P405,lab,squats,4,0.9079526888955538,2019-10-09 12:32:00,5.020113261551399,5.0,2.282503,2.5477181737179,1,3.305173799834952,3.305173799834952
1660,1680,P405,lab,squats,5,0.9079526888955538,2019-10-09 12:33:00,1.2645716269155671,5.0,2.1505330000000002,2.489152702238976,1,1.8051053157956312,1.8051053157956312
1661,1681,P405,lab,breathing,1,0.9079526888955538,2019-10-09 12:35:00,3.53926642303654,1.0,1.455703,0.8853858280194228,0,2.713682108820639,1.5
1662,1682,P405,lab,breathing,2,0.9079526888955538,2019-10-09 12:36:00,6.481217664178778,1.0,1.4517280000000001,0.8566632929167467,0,3.888779809167601,1.5
1663,1683,P405,lab,breathing,3,0.9079526888955538,2019-10-09 12:37:00,4.213879634359143,1.0,1.464448,0.8317522468256191,0,2.983141514592804,1.5
1664,1684,P405,lab,breathing,4,0.9079526888955538,2019-10-09 12:38:00,7.108975347506592,1.0,2.075008,1.6923205041065983,0,4.139523805103863,1.5
1665,1685,P405,lab,breathing,5,0.9079526888955538,2019-10-09 12:39:00,2.6464360445975927,1.0,1.439008,0.668876,0,2.3570606564215275,1.5
1666,1686,P405,lab,reading,1,0.9079526888955538,2019-10-09 12:42:00,1.5174068742864952,1.3,1.439008,0.668876,0,1.9060947929825065,1.5
1667,1687,P405,lab,reading,2,0.9079526888955538,2019-10-09 12:43:00,3.9352080401146208,1.3,1.439008,0.668876,0,2.8718322770469036,1.5
